Date,Volume_stock,Adj_Close_stock,HiLo_vola_stock,Pct_change_stock,Pct_change_stock_scaled,Favs,RTs,Followers,Following,Is a RT,compound,neg,pos,Compound_multiplied,Compound_multiplied_scaled,Predicted_change_stock,Buy/Sell,KNN,LogReg,SVM linear,Decision Tree,Random Forest,KNN(Multiple Input),LogReg(Multiple Input),SVM linear(Multiple Input),Decision Tree(Multiple Input),Random Forest(Multiple Input)
2016-04-01 00:00:00,11244100,38.26744843,2.325734864,-1.520061286,-0.588352318,1,1.90625,3156.930435,694.245098,0.156521739,-0.141676741,0.570838372,0.429161631,-725.6827046,-0.033958906,-1.381792868,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2016-04-02 00:00:00,10106466.67,38.21903229,2.503565503,-1.381792868,-0.509676538,1.5625,1.885714286,16486.24194,10707.66667,0.193548387,-0.076277627,0.53813881,0.461861184,-1081.196762,-0.043137679,-1.24352445,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
2016-04-03 00:00:00,8968833.333,38.17061615,2.681396143,-1.24352445,-0.431000758,1.9,1,13450.2973,6385.138889,0.054054054,0.139409535,0.430295233,0.569704765,4050.588638,0.089356364,-1.105256032,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
2016-04-04 00:00:00,7831200,38.12220001,2.859226782,-1.105256032,-0.352324977,1.428571429,1.235294118,6381.905983,3934.963636,0.034188034,-0.080718588,0.54035929,0.459640704,-783.9041187,-0.035462085,-0.511118726,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2016-04-05 00:00:00,7648400,37.69615173,1.697784416,-0.511118726,-0.014256337,1,1,1706.460526,425.7230769,0.013157895,0.139145088,0.430427458,0.569572544,616.8236817,0.000702344,-0.435111774,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1
2016-04-06 00:00:00,5650000,37.66710663,1.938029245,-0.435111774,0.028992195,1,1,1040.590909,333.2881356,0.015151515,0.232377042,0.383811477,0.616188519,512.7700151,-0.001984146,-0.775993891,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
2016-04-07 00:00:00,8206700,37.14421082,3.069117272,-0.775993891,-0.164972318,1,1,1702.322581,969.6034483,0.016129032,0.07814943,0.460925287,0.539074717,313.7101444,-0.007123536,-0.516797827,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1
2016-04-08 00:00:00,6087400,37.27977753,1.609457804,-0.516797827,-0.017487789,1.865524286,2.966336199,918.4772727,792.047619,0,0.213119566,0.393440218,0.606559782,-114.8894322,-0.018189254,-0.396092744,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1
2016-04-09 00:00:00,6702366.667,37.35401408,1.855143164,-0.396092744,0.05119432,1,1,5169.25,1936.090909,0.083333333,-0.115133268,0.557566634,0.44243337,-1601.07459,-0.056560048,-0.275387661,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2016-04-10 00:00:00,7317333.333,37.42825063,2.100828523,-0.275387661,0.119876429,2.333333333,2.8,3339.083333,1012.735294,0.194444444,0.110559273,0.444720365,0.555279637,687.8003648,0.002534843,-0.154682578,-1,-1,-1,-1,1,1,1,-1,-1,1,1
