date,open,high,low,close,amount ,volume,position
2009/3/27,3550,3663,3513,3561,12684.25,354590,45548
2009/3/30,3550,3580,3528,3544,5151.45,145168,48380
2009/3/31,3538,3566,3531,3549,2506,70592,44714
2009/4/1,3560,3561,3543,3547,997.52,28100,42076
2009/4/2,3545,3548,3456,3473,8197.17,235446,68888
2009/4/3,3481,3481,3436,3448,5266.92,152376,75038
2009/4/7,3410,3518,3410,3491,8447.99,242578,100482
2009/4/8,3480,3491,3456,3463,5110.33,147288,91910
2009/4/9,3476,3486,3460,3468,3045.15,87688,94832
2009/4/10,3483,3499,3470,3484,4216.23,120978,100164
2009/4/13,3485,3493,3464,3469,3823.17,109820,109430
2009/4/14,3475,3600,3469,3560,19237.92,540646,150640
2009/4/15,3570,3590,3550,3562,9116.22,255606,151496
2009/4/16,3582,3628,3570,3596,9009.79,250464,169328
2009/4/17,3594,3648,3581,3620,12288.73,339250,219892
2009/4/20,3620,3648,3608,3623,9415.71,259196,237828
2009/4/21,3580,3590,3486,3524,11767.29,332448,239554
2009/4/22,3550,3566,3508,3526,5959.14,168524,232948
2009/4/23,3529,3531,3488,3513,4573.76,130386,232986
2009/4/24,3513,3522,3497,3501,3556.99,101444,246048
2009/4/27,3510,3520,3492,3499,3592.03,102472,254508
2009/4/28,3496,3515,3496,3507,3386.64,96548,262534
2009/4/29,3507,3520,3503,3520,3606.41,102694,275054
2009/4/30,3536,3575,3523,3553,8749.85,246912,297600
2009/5/4,3573,3660,3571,3636,20816.23,574332,326102
2009/5/5,3636,3644,3570,3577,6314.47,175954,309944
2009/5/6,3578,3598,3573,3594,3727.65,103788,313462
2009/5/7,3628,3630,3591,3593,5427.44,150420,319090
2009/5/8,3599,3616,3589,3614,3733.07,103620,323154
2009/5/11,3615,3678,3606,3639,12227.19,335082,339154
2009/5/12,3645,3660,3630,3645,7063.22,193634,339446
2009/5/13,3655,3657,3634,3639,4326.36,118636,340500
2009/5/14,3616,3620,3590,3594,5022.7,139572,336300
2009/5/15,3600,3618,3596,3604,4770.73,132292,338078
2009/5/18,3595,3612,3581,3608,3767.14,104746,336750
